customerID,probabilidade_churn,classificacao_churn,faixa_risco,Churn_real,Contract,tenure,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,acao_recomendada
7216-EWTRS,0.8966347431776948,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,100.8,100.8,Contato prioritario com oferta de retencao e revisao de plano
5419-JPRRN,0.8886921390786958,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,101.45,101.45,Contato prioritario com oferta de retencao e revisao de plano
0107-YHINA,0.8886921390786958,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,99.75,99.75,Contato prioritario com oferta de retencao e revisao de plano
9300-AGZNL,0.8715744443063085,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,94.0,94,Contato prioritario com oferta de retencao e revisao de plano
9497-QCMMS,0.8715744443063085,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,93.55,93.55,Contato prioritario com oferta de retencao e revisao de plano
5178-LMXOP,0.8715744443063085,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,95.1,95.1,Contato prioritario com oferta de retencao e revisao de plano
0295-PPHDO,0.8707853284118934,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,95.45,95.45,Contato prioritario com oferta de retencao e revisao de plano
4826-XTSOH,0.8657739019640897,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,86.05,86.05,Contato prioritario com oferta de retencao e revisao de plano
5192-EBGOV,0.8657739019640897,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,85.7,85.7,Contato prioritario com oferta de retencao e revisao de plano
1069-XAIEM,0.8657111772760652,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,85.05,85.05,Contato prioritario com oferta de retencao e revisao de plano
3068-OMWZA,0.8641541527754645,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,88.8,88.8,Contato prioritario com oferta de retencao e revisao de plano
8149-RSOUN,0.8579380621806649,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,93.85,93.85,Contato prioritario com oferta de retencao e revisao de plano
6521-YYTYI,0.8579380621806649,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,93.3,93.3,Contato prioritario com oferta de retencao e revisao de plano
4910-GMJOT,0.8579380621806649,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,94.6,94.6,Contato prioritario com oferta de retencao e revisao de plano
8775-LHDJH,0.853082785701939,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,90.6,90.6,Contato prioritario com oferta de retencao e revisao de plano
